category,component,baseline,maturity,v12_role,vello_relationship,interop,workloads,promotion_gate,fallback,risk,license,source
GPU substrate,wgpu,30.0.0 experimental track / Vello upstream 29,활성·성숙,단일 GPUDevice·Queue·자원·프로파일링 허브,Vello fork 기반,"as_webgpu, create_texture_from_webgpu_handle, pipeline cache",전체 GPU fabric,"Vello fork compile, same-device zero-copy, device-loss/allocator reports",upstream Vello wgpu29 build,Vello upstream과 버전 차이,MIT OR Apache-2.0,https://github.com/gfx-rs/wgpu/releases
Shader,WESL / wesl-rs,0.4.1,활성·발전 중,모듈형 WGSL·BrushGraph/EffectGraph 변형 컴파일러,Vello/custom pass shader ecosystem,WESL → WGSL → Naga/wgpu validation,브러시·필터·파티클·재질 shader,"모든 variant compile, Naga validation, pipeline count/jank 감소",정적 WGSL,"언어/도구 변경, plugin shader 안전",MIT OR Apache-2.0,https://github.com/webgpu-tools/wesl-rs
Shader,Naga,wgpu 30 내장,성숙,WGSL validation·reflection·backend translation,Vello/wgpu shader 검증,Rust compile pipeline,shader safety·CI,fuzz·malformed plugin shader 차단,browser WebGPU validation,backend별 차이,MIT OR Apache-2.0,https://github.com/gfx-rs/wgpu
C++ WebGPU,Dawn / Emdawnwebgpu,pinned source SHA,활성·WASM 패키지 제공,Google Ink·Skia Graphite·ThorVG C++ 모듈의 WebGPU 접속,동일 GPUDevice 공유 challenger,WGPUDevice/WGPUTexture handles,C++ next-gen providers,"same-device texture exchange, queue ordering, no copy, 8h soak",CPU mesh + Rust wgpu upload,nightly package·header 변화·수명 관리,BSD-3-Clause,https://dawn.googlesource.com/dawn/+/refs/heads/main/src/emdawnwebgpu/
Raster challenger,Skia Graphite + Dawn,pinned Skia SHA,브라우저/WASM 고위험 실험,효과·오버드로우·다중 스레드 래스터 challenger,렌더 아일랜드 경쟁 및 Vello 최종 합성,same WebGPUDevice 또는 texture exchange,래스터 브러시·필터-heavy·UI tile,"CanvasKit Ganesh/Vello 대비 20% 우위, compile/device-loss/visual gates",CanvasKit Ganesh / Vello Hybrid,"WASM build issue, Dawn backend device-loss, API 변화",BSD-3-Clause,https://blog.chromium.org/2025/07/introducing-skia-graphite-chromes.html
Stable raster,CanvasKit / Skia Ganesh,pinned stable build,검증된 생산 기준,기준 raster·Paragraph·SkSL·ImageFilter·출력,reference/challenger/fallback,large island texture/image,"일반 raster, CJK fallback, deterministic comparison",항상 기준선 유지,Skia software,WASM 크기·별도 GPU context,BSD-3-Clause,https://skia.org/docs/user/modules/canvaskit/
Ink,Google Ink,pinned main commit,잘 테스트된 코어·API 불안정,최고급 mesh 기반 전문 잉킹,메시 직접 pass + Vello 편집 프록시/합성,"C++ WASM, Emdawnwebgpu 또는 mesh delta",G펜·매핑펜·붓펜·캘리그래피,CSP 최신 안정판 대비 blind preference/latency/mesh edit gate,Perfect Freehand + Kurbo + Vello,"공식 웹 래퍼 부재, 렌더 유틸 Android 중심",Apache-2.0,https://github.com/google/ink
Vector challenger,ThorVG.Web,pinned main/release,생산 지향·WebGPU API 일부 실험,SVG·Lottie·partial redraw·WebGPU/WebGL challenger,파일/장면별 경쟁 후 Vello 합성,WGPUTexture target 또는 WASM Canvas,소형 애니메이션·SVG·UI scene,feature completeness·smart render·Vello/Skottie 비교,vello_svg/Velato/CanvasKit,"WebGPU API 실험, 엔진별 결과 차이",MIT,https://github.com/thorvg/thorvg.web
Reference,resvg + tiny-skia,pinned stable,성숙,SVG 정확성·CPU 골든 기준,visual reference,CPU pixmap,SVG export/validation,reference only,CanvasKit software,실시간 동적 장면 부적합,MIT OR Apache-2.0,https://github.com/linebender/resvg
Natural media,libmypaint,pinned stable,장기간 검증,MYB 호환 자연매체 기준·스머지,타일 결과를 Vello texture로 합성,WASM Worker tile patches,연필·수채·유화·혼색,"MyPaint reference와 parity, 1000px brush throughput",Hokusai / CanvasKit textured dab,CPU/WASM 경계·GPU 합성 비용,ISC,https://github.com/mypaint/libmypaint
Natural media,Hokusai,pinned commit,초기·Rust/WASM 친화,차세대 Rust 자연매체·spectral mixing challenger,타일 결과 Vello 합성,Rust/WASM tile surface,MYB·스머지·spectral pigment,libmypaint 대비 품질 동률+20% 처리량/통합 우위,libmypaint,프로젝트 성숙도·프리셋 호환,MIT OR Apache-2.0,https://github.com/reearth/hokusai
Image analysis,OpenCV.js,pinned stable,성숙,선택·형태학·라인 추출·추적·인페인팅 분석,mask/path 결과를 Vello로 편입,Worker + SAB/ImageData,스마트 선택·채우기·선화 정리,latency/memory and no-main-thread gate,GEGL/custom Rust,"WASM 크기, 일부 연산 CPU 병목",Apache-2.0,https://docs.opencv.org/
Large image,libvips / wasm-vips,pinned stable,성숙,초대형 이미지·리사이즈·피라미드·export,저빈도 final provider,Worker/ToonBridge,8K+·30k webtoon·batch export,memory/throughput vs CanvasKit reference,Skia CPU,WASM bundle·LGPL components notice,LGPL-2.1+ core / wrapper notices,https://github.com/libvips/libvips
Filter ecosystem,G’MIC + GEGL,pinned stable / bridge,성숙·대형 생태계,예술·복원·특수 필터와 비파괴 그래프 provider,final tile/texture 결과를 Vello 합성,dynamic Worker/ToonBridge,대규모 filter catalog,"license isolation, cancel/progress, visual samples, memory",CanvasKit/OpenCV/custom EffectGraph,GPL 계열 배포·번들 크기·실시간성,각 라이선스에 따라 격리,https://gmic.eu/
3D,Three.js + three-vrm + Rapier,pinned stable,성숙,3D·VRM·물리·보조 패스,line/depth/normal/ID texture와 Vello overlay,same canvas island 또는 texture bridge,포즈·배경·3D→2D,"camera/ID/depth pass latency, context loss, 8h soak",Babylon.js/CPU export,별도 GPU context 가능성,MIT / Apache-2.0,https://github.com/mrdoob/three.js
