ID,영역,주 엔진/라이브러리,고유 장점,최적 담당,권장 하이브리드 조합,자체 구현 정책,주요 위험,성숙도/판정,라이선스,검증 게이트,공식 출처
E11,검증된 자연매체 브러시,libmypaint,"MyPaint와 여러 페인팅 프로그램이 사용한 brush dynamics, tiled surface, smudge, .myb 생태계를 제공한다.","연필, 색연필, 수채, 유화, 혼색, smudge, MYB 호환","libmypaint가 dynamics/dab를 계산하고 CanvasKit/Skia tile surface로 합성하며, Vello는 guides·vector overlay를 담당한다. ToonWet은 부족한 습식 현상만 추가한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,C 기반 WASM 포팅·메모리 경계·업데이트 정체를 관리해야 한다.,자연매체 기준선,ISC,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/mypaint/libmypaint
E12,Rust/WASM 자연매체,Hokusai,libmypaint에서 영감을 받은 순수 Rust 브러시 엔진으로 WASM/native를 목표로 하고 .myb 호환을 지향한다.,"Rust-only 자연매체, 웹 worker 통합, pressure/tilt 기반 MyPaint 계열",libmypaint와 동일 입력·동일 preset corpus로 비교해 더 빠르거나 유지보수성이 좋은 경로를 선택한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,신규 프로젝트이므로 기능·픽셀 동등성과 장기 유지보수를 검증한다.,품질 게이트 후보,MIT / Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/reearth/hokusai
E13,SVG·Lottie·경량 vector·animation,ThorVG,"retained scene, blending, masks, text, effects, Lottie, partial rendering과 CPU/WebGL/WebGPU backends를 제공한다.","SVG/Lottie asset, animated brush tip, UI motion, lightweight vector island, low-power profile",Vello/Velato/Skottie와 파일별 feature scanner로 라우팅하고 resvg를 정적 기준선으로 사용한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,SVG/Lottie 완전 사양을 가정하지 말고 기능 커버리지를 검사한다.,생산 보조,MIT,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://www.thorvg.org/about
E14,Vello 장면으로 SVG·Lottie 편입,vello_svg + Velato,SVG/Lottie를 Vello scene fragment로 직접 연결해 벡터 장면과 편집 overlay를 같은 renderer에서 합성한다.,"웹툰 장식, motion asset, vector brush stamp, Vello-native animation island","ThorVG·Skottie를 기능 폴백으로, resvg를 정확한 정적 reference로 둔다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,지원하지 않는 사양은 scanner가 사전에 분리해야 한다.,조건부 보조,MIT / Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/velato
E15,정확한 SVG·CPU 기준 렌더,resvg + tiny-skia,정적 SVG 렌더와 CPU 기준 이미지를 만들기 좋고 서버·테스트에서 결정적 기준을 제공한다.,"SVG import preview, golden image, export validation, GPU 장애 복구",vello_svg/ThorVG의 실시간 결과와 pixel diff를 수행한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,동적 편집기 전체 renderer가 아니라 reference/export 역할에 집중한다.,필수 기준선,MIT / Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/resvg
E16,선택·형태학·엣지·기하·분석,OpenCV / OpenCV.js,"threshold, morphology, gradients, Canny, contours, transforms 등 검증된 computer vision/image processing 기능을 폭넓게 제공한다.","마술봉, line extraction, dust removal, gap analysis, inpainting 보조, camera tracking 보조","분석과 mask 생성은 OpenCV, 실시간 합성·미리보기는 CanvasKit/Vello, 대형 최종 처리는 libvips/G’MIC과 결합한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,OpenCV.js 번들·메모리와 CPU 비용을 worker/lazy-load로 통제한다.,생산 분석 계층,Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://docs.opencv.org/5.0/tutorials/imgproc/table_of_content_imgproc.html
E17,대형 이미지·배치·피라미드,libvips / wasm-vips,"demand-driven, horizontally threaded 처리로 큰 이미지에서 빠르고 메모리 사용이 낮은 것을 목표로 한다.","8K/초장축 export, resize, pyramid, batch conversion, thumbnail, format pipeline","편집 중 preview는 CanvasKit/Vello, 최종 대형 출력은 libvips, 색 관리는 OCIO/LCMS로 분리한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,LGPL·WASM 크기·일부 코덱 라이선스를 배포 모드별로 관리한다.,대형 처리 주력,LGPL-2.1-or-later,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://libvips.github.io/libvips/
E18,대규모 창작·복원 필터,G'MIC / libgmic,공식 GUI 기준 640개 이상의 필터와 자체 확장 언어·multi-threaded library를 제공한다.,"예술 효과, 복원, 패턴, color grading, 실험 필터, marketplace recipe bootstrap","저해상도 proxy는 CanvasKit/OpenCV, 고품질 final은 Local ToonBridge/격리 provider의 G’MIC, 결과는 EffectGraph node로 저장한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,CeCILL 계열 라이선스·브라우저 번들·취소/격리를 관리한다.,동적 확장,CeCILL 계열,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://gmic.eu/
E19,비파괴 이미지 처리 DAG,GEGL,operation graph와 loadable operation API를 제공해 image processing pipeline과 자동 UI 생성에 적합하다.,"고급 non-destructive filter graph, GIMP 계열 연산, offline final pipeline",Toon EffectGraphIR을 GEGL chain으로 컴파일하고 interactive subset은 CanvasKit/OpenCV가 preview한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,LGPL/GPL 경계와 브라우저 직접 통합 비용 때문에 bridge/provider 격리를 기본으로 한다.,동적 확장,"library LGPL, tools GPL","golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://gegl.org/
E20,색관리,OpenColorIO + LittleCMS + skcms,영화·인쇄·브라우저/Skia 색상 변환을 각각 강하게 지원하는 검증된 색관리 도구다.,"ICC, soft proof, OCIO config, display transform, export color conversion",CanvasKit/Vello 내부 선형 합성 뒤 export/display 경계에서 선택하고 cross-engine color chart로 검증한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,색공간 변환을 여러 엔진이 중복 적용하지 않도록 ColorPipeline 하나가 소유한다.,생산 필수,mixed permissive/LGPL,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://opencolorio.org/
E21,3D·VRM·raycast,Three.js + three-vrm + three-mesh-bvh,"웹 3D 생태계, VRM, fast raycast/BVH, render target와 후처리를 결합하기 쉽다.","3D pose, camera, background, depth/normal/ID pass, surface paint","Rapier physics, Manifold boolean, glTF Transform optimization을 붙이고 2D 결과는 Vello/CanvasKit에 texture/vector로 전달한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,2D editor hot path와 별도 island로 유지한다.,생산 3D 계층,MIT 및 프로젝트별 permissive,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/mrdoob/three.js
E22,물리·메시 연산,Rapier + Jolt + Manifold,"Rapier는 강체/충돌, Jolt는 고급 물리 후보, Manifold는 견고한 mesh boolean에 강점이 있다.","3D 배치, pose contact, cloth/soft-body 선택 기능, room/model boolean","브러시모는 경량 XPBD, 장면 강체는 Rapier, 고급 cloth는 Jolt, mesh boolean은 Manifold로 분리한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,동일 기능 엔진을 동시에 상주시켜 중복하지 않는다.,기능별 선택,permissive 프로젝트 조합,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/dimforge/rapier
E23,영상·오디오,WebCodecs + Mediabunny + FFmpeg,"브라우저 하드웨어 codec, JS media container, 범용 codec/format bridge를 단계적으로 조합할 수 있다.","animation playback, audio waveform, recording, proxy, batch output","WebCodecs 우선, container는 Mediabunny, 미지원 codec/final batch는 FFmpeg bridge로 전환한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,codec capability와 라이선스를 파일별로 탐지한다.,생산 미디어 계층,mixed,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://developer.mozilla.org/en-US/docs/Web/API/WebCodecs_API
E24,협업·버전 문서,Yjs 또는 Loro,의미 객체·텍스트·트리의 local-first 협업과 undo/presence/version 기능을 제공한다.,레이어·벡터·텍스트·댓글·컷·키프레임 협업,"대형 raster tile/asset은 content-addressed binary storage로 분리하고, 시뮬레이션은 command+seed+bake만 동기화한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,한 문서에서 여러 CRDT를 섞지 않고 하나를 선택한다.,생산 협업 계층,permissive,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/yjs/yjs
E25,로컬 저장·복구·검색,OPFS + SQLite WASM,대형 파일·타일을 브라우저 로컬 파일로 저장하고 metadata/index/journal을 구조화할 수 있다.,"append journal, snapshot, tile chunks, asset index, crash recovery","OPFS는 blob·tile, SQLite는 metadata·관계·검색, cloud object storage는 백업·협업을 담당한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,OPFS는 백업이 아니므로 외부 복구 패키지와 cloud sync가 필요하다.,생산 저장 계층,standards / public domain SQLite,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://developer.mozilla.org/en-US/docs/Web/API/File_System_API/Origin_private_file_system
E26,웹 UI 접근성·상태,React Aria + Radix + XState,"접근 가능한 DOM 입력, 메뉴/팝오버 primitives, 명시적 tool state machine을 제공한다.","패널, 메뉴, 폼, 접근성, onboarding, workspace, command UI",캔버스 내부 고빈도 HUD·guide·selection은 Vello가 그리고 DOM UI와 동일 CommandRegistry를 공유한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,캔버스 hot path의 샘플·입자를 React state에 넣지 않는다.,생산 웹 UI,permissive,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://react-spectrum.adobe.com/react-aria/
E27,선택형 Rust native UI·설계 참고,Xilem + Masonry,"Xilem은 선언형 reactive view diff, Masonry는 retained widget tree·event/update/layout/paint pass를 제공한다.","향후 native Studio Max shell, UI invalidation/test architecture 참고","현재 웹은 React를 유지하고 캔버스 UI는 Vello, 향후 동일 Rust ProjectGraph 위에 Xilem/Masonry shell을 선택적으로 구축한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,공식 프로젝트가 experimental임을 고려해 웹 UI 전면 교체에 사용하지 않는다.,연구·네이티브 후보,permissive,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/xilem
E28,얇은 제품 고유 GPU 확장,wgpu / WebGPU + ToonGpuExtensions,"검증 엔진 결과를 같은 frame graph에 연결하고, sparse tile·진단·고유 자연매체처럼 제품 특화 공백을 채울 수 있다.","texture interop, sparse tile residency, final composite, ToonWet, unique particle collision, diagnostics","범용 기능은 기존 엔진을 먼저 사용하고, 부족한 pass만 작은 custom module로 끼워 넣는다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,"자체 엔진 전체를 새로 만들지 않되, 입증된 이점이 있으면 자체 구현을 주력으로 승격할 수 있다.",필수 얇은 확장,internal + wgpu permissive,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://www.w3.org/TR/webgpu/
