id,epic,priority,title,status,evidence,remaining,original_dependencies,owner,estimate
E03-05,E03-discovery-data,P1,Explore progressive disclosure,planned,No completion evidence was established in this main-branch revalidation.,Applied conditions and live result count remain visible,E03-01,catalog-discovery,M
E03-06,E03-discovery-data,P1,Recommendation feedback,planned,No completion evidence was established in this main-branch revalidation.,Feedback changes next batch without exposing sensitive profile data,E03-01,catalog-discovery,M
E03-07,E03-discovery-data,P2,Calendar and news collection patterns,planned,No completion evidence was established in this main-branch revalidation.,Mobile density and empty/error states pass,E02-03;E03-01,catalog-discovery,M
E03-08,E03-discovery-data,P2,Spatial reader fallback,planned,No completion evidence was established in this main-branch revalidation.,Sample opens; user can always return to flat reading,E02-05,catalog-discovery,L
E04-01,E04-community-collaboration,P1,Community information architecture,planned,No completion evidence was established in this main-branch revalidation.,Primary posting action and feed scope are unambiguous,E02-03,community,L
E04-02,E04-community-collaboration,P1,Genre cafes,planned,No completion evidence was established in this main-branch revalidation.,H1 and navigation identify cafes; touch targets pass,E04-01,community,M
E04-03,E04-community-collaboration,P2,Collaboration listing,planned,No completion evidence was established in this main-branch revalidation.,Saved search and safe collaboration guidance work,E02-03;E03-01,community,L
E04-04,E04-community-collaboration,P2,Collaboration post workflow,planned,No completion evidence was established in this main-branch revalidation.,Sign-in round-trip restores draft; validation summary links fields,E02-02;E02-05,community,L
E04-05,E04-community-collaboration,P2,Showcase discovery,planned,No completion evidence was established in this main-branch revalidation.,Works discoverable without crossing full marketing hero,E02-03,community,M
E04-06,E04-community-collaboration,P2,Promotion studio workflow,planned,No completion evidence was established in this main-branch revalidation.,"Stepper, fixed preview, output presets and accessibility pass",E02-06;E09-01,community,L
E05-01,E05-learning-research,P1,Learning paths,planned,No completion evidence was established in this main-branch revalidation.,A course opens matching Studio practice with progress retention,E02-03,creator-resources,L
E05-02,E05-learning-research,P1,Glossary redesign,planned,No completion evidence was established in this main-branch revalidation.,Mobile touch density and deep-link terms pass,E03-01,creator-resources,M
E05-03,E05-learning-research,P2,Research four-step flow,planned,No completion evidence was established in this main-branch revalidation.,Project optional flow and evidence provenance retained,E02-03,creator-resources,L
E05-04,E05-learning-research,P2,Research notebook,planned,No completion evidence was established in this main-branch revalidation.,Saved notes preserve source and license metadata,E05-03,creator-resources,L
E05-05,E05-learning-research,P2,Opportunity metadata,planned,No completion evidence was established in this main-branch revalidation.,Official source and last checked date always visible,E02-03,creator-resources,M
E06-01,E06-market,P1,Market browse shell,partial,"Market browse has resilient API-error UI, and marketplace install/acquisition PRs added deeper install flow.","Unify cache, rights, compatibility, install receipt and deployed direct-entry evidence.",E00-02;E03-01,market,L
E06-02,E06-market,P1,Asset compare and fit,planned,No completion evidence was established in this main-branch revalidation.,"Difference-only, share and automatic-fix suggestions work",E06-01;E02-05,market,L
E06-03,E06-market,P2,Account asset library,partial,Marketplace lifecycle and acquisition integrity changes added account/device install state.,"Batch update, incompatible and archived lifecycle acceptance remains to be revalidated.",E06-01;E02-05,market,L
E06-04,E06-market,P2,Seller dashboard,planned,No completion evidence was established in this main-branch revalidation.,Status and next action visible; no generic empty panel,E06-01;E02-05,market,L
E06-05,E06-market,P2,Asset publishing stepper,planned,No completion evidence was established in this main-branch revalidation.,Manifest validation and field-linked error summary pass,E02-02;E06-01,market,L
E07-01,E07-personal-settings,P1,My-space action dashboard,planned,No completion evidence was established in this main-branch revalidation.,"Cards show thumbnail, role, sync and next action",E02-03;E02-05,account-personal,L
E07-02,E07-personal-settings,P2,Profile/account consolidation,planned,No completion evidence was established in this main-branch revalidation.,No duplicate personal dashboard; return paths preserved,E01-03;E07-01,account-personal,M
E07-03,E07-personal-settings,P1,Settings navigation,planned,No completion evidence was established in this main-branch revalidation.,Settings can be found by task and reverted without reload,E02-03,account-personal,L
E07-04,E07-personal-settings,P1,Unified AI settings,partial,Cloud AI routing profiles and shared AI settings/runtime clients exist on current main.,Global and Studio settings still expose duplicated surfaces and many unnamed interactions; one authority is not complete.,E02-05;E07-03,account-personal,L
E08-01,E08-creator-project,P1,Creator project ContextBar,planned,No completion evidence was established in this main-branch revalidation.,Context consistent and mobile collapse accessible,E01-01;E02-06,creator-project,M
E08-02,E08-creator-project,P1,Project hub,partial,"PR #1535 added first-save destination, project thumbnails, .toonstudio workspace snapshots, import and rollback-safe restore.","Unify this project library with the new Production hub, roles, deadlines, review and next-action model.",E08-01;E02-05,creator-project,L
E08-03,E08-creator-project,P1,Review workflow,planned,No completion evidence was established in this main-branch revalidation.,Comments survive navigation and status changes are auditable,E08-01;E08-02,creator-project,L
E08-04,E08-creator-project,P1,Share permissions,planned,No completion evidence was established in this main-branch revalidation.,Permission changes enforced server-side and recoverable,E08-01;E02-05,creator-project,L
E08-05,E08-creator-project,P1,Version and recovery timeline,partial,"Autosync, project package snapshots and restore flows materially improve recovery.","A single local/server version timeline with compare, labels and safe restore is still outstanding.",E08-01;E02-02,creator-project,L
E08-06,E08-creator-project,P1,Publish command center,planned,No completion evidence was established in this main-branch revalidation.,"Direct and alias entry, missing project and error states pass",E00-03;E08-01,creator-project,L
E08-07,E08-creator-project,P2,Present and join flows,planned,No completion evidence was established in this main-branch revalidation.,"H1 present; valid, invalid, expired and denied invitations tested",E08-01;E02-05,creator-project,M
E09-01,E09-creator-editor,P1,CreatorShell chrome,partial,"Back navigation, first-save destination and newer Studio chrome surfaces cover several CreatorShell responsibilities.","Global shell ownership, consistent document/project context and removal of duplicate main landmarks remain.",E08-01,creator-editor,L
E09-02,E09-creator-editor,P1,Mobile creator modes,planned,No completion evidence was established in this main-branch revalidation.,No desktop toolbar scaled down; continue-on-desktop path works,E01-01;E09-01,creator-editor,L
E09-03,E09-creator-editor,P2,Panel docking and pop-out,partial,"Workspace panels, floating surfaces, reference pop-out and arrangement controls landed after the original design.","Keyboard alternatives, persistence ownership, close behavior and canvas-occlusion acceptance need one consolidated contract.",E09-01,creator-editor,XL
E09-04,E09-creator-editor,P1,Editor control semantics,partial,"Tooltip and several Studio menu/control semantics exist, but high unnamed-interaction counts remain on AI and ecosystem routes.","Finish accessible names, focus order and shortcut discovery across all creator surfaces.",E09-01,creator-editor,L
E09-05,E09-creator-editor,P2,First-success samples,partial,"Canvas presets, template/asset palettes, V6 brushes and restored VRM quality improve first-success material.",Each empty editor surface still needs a tested starter sample and reset contract.,E09-01;E02-02,creator-editor,L
E10-01,E10-ai-3d-runtime,P0,Capability gate runtime,planned,No completion evidence was established in this main-branch revalidation.,"GPU, isolation, model and local engine combinations tested",E02-05,creator-runtime,L
E10-02,E10-ai-3d-runtime,P1,Production job contract,planned,No completion evidence was established in this main-branch revalidation.,Jobs survive navigation and failures expose actionable cause,E02-02;E10-01,creator-runtime,L
E10-03,E10-ai-3d-runtime,P1,AI connection authority,partial,Cloud AI routing profiles and execution preflight modules are present.,"One provider/model readiness authority shared by settings, AI lab and personal runtime remains incomplete.",E07-04;E10-01,creator-runtime,L
E10-04,E10-ai-3d-runtime,P2,Generation workflow contract,planned,No completion evidence was established in this main-branch revalidation.,"Lift3D, character conversion and generation use one receipt model",E10-02;E10-03,creator-runtime,XL
E10-05,E10-ai-3d-runtime,P1,3D safe-mode profiles,planned,No completion evidence was established in this main-branch revalidation.,Blocked hardware always offers a truthful supported alternative,E10-01;E00-04;E00-05,creator-3d,L
E10-06,E10-ai-3d-runtime,P2,Runtime diagnostics,planned,No completion evidence was established in this main-branch revalidation.,"No prompt, artwork, key or sensitive path appears in diagnostics",E10-01;E10-02,creator-runtime,M
E11-01,E11-docs-trust,P1,Support and feedback separation,implemented,"Support is now a private troubleshooting finder with diagnostics, while feedback is a separate public proposal route.",Keep privacy copy and channel routing under regression tests.,E02-04;E02-05,legal-support,M
E11-02,E11-docs-trust,P1,DocsShell migration,partial,"Policy/help surfaces received document-oriented improvements, but still share the generic public shell.",Introduce DocsShell ownership and remove generic creative journey blocks from trust documents.,E02-04;E02-06,legal-support,L
E11-03,E11-docs-trust,P2,Data source status table,planned,No completion evidence was established in this main-branch revalidation.,Every provider row exposes source and last verified date,E11-02,legal-support,M
E11-04,E11-docs-trust,P2,Policy version history,implemented,"Policy summaries, stable anchors, versions, effective dates and print support landed in PR #1528.",Continue content governance; the planned UI contract is materially present.,E11-02,legal-support,M
E11-05,E11-docs-trust,P2,Contextual help links,planned,No completion evidence was established in this main-branch revalidation.,Help opens the relevant section and returns focus to the caller,E01-02;E11-02,legal-support,M
E12-01,E12-quality-rollout,P0,108-route CI audit,partial,e2e/site-directory-health.spec.ts audits canonical directory pages and ten mobile routes.,"Add current primary routes, dynamic route families, visible-owned H1, exactly-one-main and readiness-state checks.",E00-01;E01-06,qa,L
E12-02,E12-quality-rollout,P1,Accessibility regression suite,partial,"Focused route, sitemap, support and accessibility tests pass; several high-density controls were improved.","The current main audit still finds large unnamed-control and small-target clusters on AI, ecosystem and learning routes.",E02-02;E09-04,qa,L
E12-03,E12-quality-rollout,P1,Visual state matrix,planned,No completion evidence was established in this main-branch revalidation.,Approved deterministic snapshots include before/after rationale,E02-03;E02-04;E09-01,qa,L
E12-04,E12-quality-rollout,P1,Performance budgets,planned,No completion evidence was established in this main-branch revalidation.,Public routes exclude Studio engines and dense pages stay within budget,E02-03;E09-01,qa,L
E12-05,E12-quality-rollout,P1,Feature-flag rollout observability,planned,No completion evidence was established in this main-branch revalidation.,"Each rollout records flag, SHA, evidence, limitation and rollback owner",E12-01;E12-02;E12-04,operations,M
E12-06,E12-quality-rollout,P2,Full cross-browser acceptance,planned,No completion evidence was established in this main-branch revalidation.,Release matrix complete with documented limitations,E12-01;E12-02;E12-03,qa,L
M17-01,M17-main-delta,P0,Production route authority integration,new,"/production is primary Studio navigation and has 14 route patterns, but is absent from site-route metadata, titles and the public directory contract.","Add static and dynamic route-family records, title keys, shell/purpose policy, sitemap entry and integrity tests.",main revalidation,to assign,M
M17-02,M17-main-delta,P0,Single main landmark ownership,new,The current local audit finds duplicate main landmarks on 19 desktop and 22 mobile routes.,Make AppShell the single landmark owner or declare an explicit route-owned exception; add CI enforcement.,main revalidation,to assign,M
M17-03,M17-main-delta,P0,Route health contract hardening,new,The health test accepts hidden fallback H1 and any generic link or 24 body characters as meaningful content.,"Require page-owned visible identity or explicit editor-ready state, one main, primary action and route-specific timeout budgets.",main revalidation,to assign,M
M17-04,M17-main-delta,P1,Studio primary destination parity,new,/studio/new and /studio/assets are primary desktop/mobile navigation destinations but are omitted from the directory and original inventory.,"Register both routes once and derive navigation, directory, command palette and tests from the same record.",main revalidation,to assign,M
M17-05,M17-main-delta,P1,Worldwide locale registry contract,new,Current main exposes 299 locale choices while route labels still use a ko/en-only SiteNavigationText record.,Store translation keys and fallback policy in the registry instead of embedding two-language route labels.,main revalidation,to assign,M
M17-06,M17-main-delta,P1,Production and Studio project IA reconciliation,new,"Current main now has /production, /studio/projects, /studio/ecosystem and first-save project library flows with overlapping project concepts.","Define source-of-truth boundaries for planning, files, role workcells, review, versions and publishing; preserve one document/save authority.",main revalidation,to assign,M
M17-07,M17-main-delta,P1,Deployed direct-entry release gate,new,"Local main recovers /market/browse and heavy Studio surfaces, but the original failure was observed on the hosted site and direct-entry isolation adds reload latency.","Run built-artifact and deployed-host deep-link tests with API failure, service worker, isolation redirect and cache-cold scenarios.",main revalidation,to assign,M
M17-08,M17-main-delta,P1,Global journey injection policy,new,"AppShell still appends generic creation compass and next-step journeys to broad route groups, including production and utility pages.","Move related actions into route/page declarations and suppress public marketing blocks on creator, document and operational surfaces.",main revalidation,to assign,M
M17-09,M17-main-delta,P1,Domain route catalog projection,new,"Current main has a 29-entry Studio product registry, a 14-entry Studio runtime manifest and a 14-pattern Production route group in addition to global metadata.",Compose typed domain catalogs into the site projection without duplicating Studio canonical or runtime-lifecycle logic.,main revalidation,to assign,M
M17-10,M17-main-delta,P0,Rendered directory reachability test,new,SitemapPage.test.ts can pass for /studio/comic because it searches the full navigation source even when the rendered directory omits the link.,Test registry selector or rendered canonical hrefs and require explicit inclusion or exclusion for every user-facing domain route.,main revalidation,to assign,M
