authority,id,pattern,route_kind,shell_or_kind,resource,title_ko,title_en,aliases,runtime_identity,current_role,revalidation_action
studio-runtime-manifest,studio-remix-production,/studio/remix/:sourceWorkId/:surface(present|review|versions),family,production,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-placeholder,/studio/assets,static,placeholder,,,,,,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-work-placeholder,/studio/work/:workId/assets,family,placeholder,,,,,,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-remix-placeholder,/studio/remix/:sourceWorkId/assets,family,placeholder,,,,,,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
production-route-group,production-home,/production,static,creator,none,,,,,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-projects,/production/projects,static,creator,none,,,,,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-root,/production/projects/:projectId,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-overview,/production/projects/:projectId/overview,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-planning,/production/projects/:projectId/planning,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-episodes,/production/projects/:projectId/episodes,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-production,/production/projects/:projectId/production,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-schedule,/production/projects/:projectId/schedule,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-handoff,/production/projects/:projectId/handoff,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-review,/production/projects/:projectId/review,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-procurement,/production/projects/:projectId/procurement,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-rights,/production/projects/:projectId/rights,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-project-settings,/production/projects/:projectId/settings,family,creator,project,,,,projectId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
production-route-group,production-episode-room,/production/projects/:projectId/episodes/:episodeId,family,creator,project,,,,episodeId,Active React route composition,"Add title, directory, access and health metadata through a Production domain catalog."
