route,label,canonical_path,shell,template,purpose,access,project_context,maturity,device,mobile_mode,priority,epic,owner_domain,primary_action,current_findings,desktop_text_chars,mobile_text_chars,unnamed_interactions,mobile_small_targets,target_outcome
/music,음악·사운드 작품에 연결할 음원 만들기,/studio/assets/audio,creator,immersive-editor,create,public,optional,stable,desktop-first,full,P1,E09-creator-editor,creator-studio,오디오 작업 시작,desktop-h1-missing; unnamed-interactions:5; visible-state:준비 중; redirect:/studio/assets/audio,175,1479,5,12,"canonical 오디오 작업공간에서 skeleton timeout, 파형·루프·장면 연결·사용권을 제공"
/my,내 공간 작품·활동·프로필과 계정 관리,/my,browse,dashboard,manage,sign-in,none,stable,responsive,full,P2,E07-personal-settings,account-personal,오늘 할 일 열기,no-critical-initial-render-finding,1235,1030,0,29,내 공간 작품·활동·프로필과 계정 관리에서 오늘 할 일·주의 상태·다음 행동을 먼저 보여주고 빈 상태에 샘플을 제공
/news,업계 소식 웹툰·웹소설 관련 소식,/news,browse,collection,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,목록 탐색,mobile-small-targets:43,6164,5917,0,43,업계 소식 웹툰·웹소설 관련 소식에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/now,오늘의 영감 빈 화면의 부담을 줄이는 짧은 창작 시작,/now,browse,editorial-landing,create,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,unnamed-interactions:5; mobile-small-targets:47,7577,7315,5,47,오늘의 영감 빈 화면의 부담을 줄이는 짧은 창작 시작의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/opportunities,창작 기회 공모전·지원사업·제작 기회,/opportunities,browse,collection,create,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,목록 탐색,no-critical-initial-render-finding,2303,2059,0,29,창작 기회 공모전·지원사업·제작 기회에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/play,놀이터 가볍게 즐기는 인터랙티브 콘텐츠,/play,browse,editorial-landing,discover,public,none,stable,responsive,full,P2,E02-shells,catalog-discovery,주요 경로 시작,mobile-small-targets:53,2872,2667,0,53,놀이터 가볍게 즐기는 인터랙티브 콘텐츠의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/privacy,개인정보처리방침 개인정보 처리 기준,/privacy,docs,document,trust,public,none,stable,responsive,full,P3,E11-docs-trust,legal-support,관련 절 찾기,no-critical-initial-render-finding,1750,1545,0,29,개인정보처리방침 개인정보 처리 기준을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/publishing,연재·출판 준비 원고·권리·소개 자료 점검,/studio/publish,creator,workflow,create,public,none,stable,responsive,full,P0,E00-route-stability,creator-studio,게시 준비 열기,blank-or-no-content; desktop-h1-missing; mobile-h1-missing; redirect:/studio/publish; failed-request:www.toonstudio.cloud,0,0,0,0,alias를 제거하고 /studio/publish에서 프로젝트 선택·누락 점검·미리보기·게시를 완주
/random,랜덤 발견 조건에 맞는 작품 무작위 추천,/random,browse,editorial-landing,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,한 편 뽑기,no-critical-initial-render-finding,1624,1494,0,30,랜덤 발견 조건에 맞는 작품 무작위 추천의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/ranking,랭킹 기간과 지표별 인기 흐름,/ranking,browse,collection,discover,public,none,stable,responsive,full,P1,E03-discovery-data,catalog-discovery,랭킹 조건 적용,unnamed-interactions:153; mobile-small-targets:456; visible-state:오류,23682,20225,153,456,"카드/표 분리, 이름 있는 조작, 필터 고정, 가상화, 변화 이유·신뢰도 표시"
/read/spatial,공간형 웹툰 감상 준비한 컷을 공간형 또는 평면 화면으로 감상,/read/spatial,browse,reader,discover,public,none,experimental,responsive,full,P2,E03-discovery-data,catalog-discovery,샘플 감상 시작,unnamed-interactions:2,926,721,2,33,"공간형 웹툰 감상 준비한 컷을 공간형 또는 평면 화면으로 감상에 평면/공간 전환, reduced motion, 성능 폴백과 샘플을 제공"
/recommend,맞춤 추천 지금 취향에 맞는 작품,/recommend,browse,search-results,discover,public,none,stable,responsive,full,P1,E03-discovery-data,catalog-discovery,추천 받기,mobile-small-targets:83,1927,3097,0,83,"짧은 취향 설정, 추천 이유, 관심 없음·이미 봄 피드백과 다양성 제어"
/references,작품 레퍼런스 공식 자료 탐색과 연구 노트,/references,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,레퍼런스 찾기,no-critical-initial-render-finding,2130,1761,0,34,작품 레퍼런스 공식 자료 탐색과 연구 노트의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/research,참고자료 출처가 있는 자료를 한곳에,/research,browse,editorial-landing,learn,public,optional,stable,responsive,full,P2,E05-learning-research,creator-resources,조사 질문 시작,unnamed-interactions:4; mobile-small-targets:43; visible-state:없습니다,6448,6204,4,43,참고자료 출처가 있는 자료를 한곳에의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/research/3d-assets,무료 3D 재료실 Poly Haven CC0 3D·HDRI·텍스처 검색,/research/3d-assets,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,no-critical-initial-render-finding,2285,2041,0,29,무료 3D 재료실 Poly Haven CC0 3D·HDRI·텍스처 검색의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/research/assets,레퍼런스 아틀라스 복식·소품·미술 자료를 장면별로,/research/assets,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,no-critical-initial-render-finding,3103,2859,0,29,레퍼런스 아틀라스 복식·소품·미술 자료를 장면별로의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/research/books,글로벌 판본 탐색 Open Library·Google Books·openBD 메타데이터 검색,/research/books,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,no-critical-initial-render-finding,2499,2255,0,29,글로벌 판본 탐색 Open Library·Google Books·openBD 메타데이터 검색의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/research/catalog,자료 카탈로그 출처가 확인된 창작 자료 모음,/research/catalog,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,no-critical-initial-render-finding,1807,1613,0,29,자료 카탈로그 출처가 확인된 창작 자료 모음의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/research/catalog/notebook,연구 노트 선택한 자료와 장면 아이디어 정리,/research/catalog/notebook,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,no-critical-initial-render-finding,1810,1616,0,29,연구 노트 선택한 자료와 장면 아이디어 정리의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/research/open-creation,오픈 창작 자료 자유롭게 활용할 수 있는 창작 자료 탐색,/research/open-creation,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,visible-state:없습니다,3009,2815,0,29,오픈 창작 자료 자유롭게 활용할 수 있는 창작 자료 탐색의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/research/packs,자료 팩 주제별 참고자료 묶음으로 바로 시작,/research/packs,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,visible-state:없습니다,4036,3842,0,29,자료 팩 주제별 참고자료 묶음으로 바로 시작의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/reviews,리뷰 작품을 깊게 읽고 기록하기,/reviews,browse,collection,connect,public,none,stable,responsive,full,P0,E00-route-stability,community,목록 탐색,blank-or-no-content; mobile-h1-missing; page-error; unnamed-interactions:1; visible-state:없습니다; failed-request:www.toonstudio.cloud,1865,0,1,0,모바일 오류를 제거하고 스포일러·정렬·빈 상태·작성 흐름을 지원
/search,작품 검색,/search,browse,search-results,discover,public,none,stable,responsive,full,P1,E03-discovery-data,catalog-discovery,검색 실행,mobile-small-targets:58,5240,4565,0,58,"작품·작가·태그·자료 탭, URL 필터, 모바일 시트, 저장 검색을 제공"
/settings,설정,/settings,browse,dashboard,manage,public,none,stable,responsive,full,P1,E07-personal-settings,account-personal,설정 찾기,unnamed-interactions:1; mobile-small-targets:53; visible-state:없습니다,3662,3457,1,53,"검색 가능한 범주, 변경 미리보기·되돌리기·기본값 복원과 위험 영역 분리"
/settings/ai,통합 AI 설정 모든 사용자 AI 연결과 키 보관함 관리,/settings/ai,browse,dashboard,manage,sign-in,none,stable,responsive,full,P1,E07-personal-settings,account-personal,AI 연결 추가,"unnamed-interactions:14; visible-state:실패,없습니다,오류",3402,3197,14,31,공급자·키·무료/유료·비용·우선순위·fallback·전송 범위의 단일 권위
/showcase,창작 갤러리 다른 창작자의 작품과 제작 흐름,/showcase,browse,editorial-landing,connect,public,none,stable,responsive,full,P2,E04-community-collaboration,community,주요 경로 시작,unnamed-interactions:1; visible-state:없습니다,2422,2175,1,37,창작 갤러리 다른 창작자의 작품과 제작 흐름의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/showcase/challenges,창작 챌린지 주제별 창작 이벤트,/showcase/challenges,browse,editorial-landing,connect,public,none,stable,responsive,full,P2,E04-community-collaboration,community,주요 경로 시작,unnamed-interactions:1; visible-state:없습니다,2149,1902,1,32,창작 챌린지 주제별 창작 이벤트의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/showcase/promo,프로모션 제작 작품 홍보용 이미지와 소재 만들기,/showcase/promo,creator,workflow,connect,public,optional,beta,desktop-first,review,P2,E04-community-collaboration,community,프로모션 초안 만들기,unnamed-interactions:11,3298,3036,11,33,프로모션 제작 작품 홍보용 이미지와 소재 만들기을 단계형 자동 저장 흐름으로 완주하고 예상 조건·오류 위치·재개를 제공
/sitemap,전체 작업 지도,/sitemap,docs,document,trust,public,none,stable,responsive,full,P1,E01-route-registry,legal-support,목적지 열기,unnamed-interactions:1,5009,4736,1,30,Route Registry 기반 검색·필터·최근 방문·즐겨찾기·상태 배지를 제공하는 제품 디렉터리
/story-lab,스토리 연구실 인물·욕망·갈등 설계,/story-lab,browse,editorial-landing,learn,public,optional,stable,responsive,full,P2,E05-learning-research,creator-resources,이야기 설계 시작,unnamed-interactions:8; visible-state:실패,2198,1954,8,29,스토리 연구실 인물·욕망·갈등 설계의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/studio,전문 드로잉 시작하기,/studio,creator,dashboard,create,public,optional,stable,responsive,full,P1,E08-creator-project,creator-studio,작업 이어가기,visible-state:없습니다,519,395,0,6,"최근 프로젝트 썸네일, 공유 작업, 복구 항목, 샘플·가져오기·새 작업을 우선"
/studio/3d/dcc/build,3D 공간 제작 방·배경·공간 구조 제작,/studio/3d/dcc/build,creator,immersive-editor,create,public,optional,beta,desktop-first,preview,P2,E09-creator-editor,creator-studio,샘플 작업 시작,desktop-h1-missing; visible-state:준비 중,625,643,0,2,"3D 공간 제작 방·배경·공간 구조 제작을 CreatorShell, 문서 보존, 능력 검사, 안전 모드와 명시적 모바일 정책으로 제공"
/studio/3d/dcc/cad,정밀 CAD 치수 기반 솔리드와 소품 설계,/studio/3d/dcc/cad,creator,immersive-editor,create,public,optional,beta,desktop-first,preview,P2,E09-creator-editor,creator-studio,샘플 작업 시작,desktop-h1-missing; visible-state:준비 중,623,724,0,2,"정밀 CAD 치수 기반 솔리드와 소품 설계을 CreatorShell, 문서 보존, 능력 검사, 안전 모드와 명시적 모바일 정책으로 제공"
/studio/3d/dcc/material,재질·UV 표면 재질과 UV 구성,/studio/3d/dcc/material,creator,immersive-editor,create,public,optional,beta,desktop-first,preview,P2,E09-creator-editor,creator-studio,샘플 작업 시작,"unnamed-interactions:7; visible-state:비어 있습니다,오류",2737,2590,7,4,"재질·UV 표면 재질과 UV 구성을 CreatorShell, 문서 보존, 능력 검사, 안전 모드와 명시적 모바일 정책으로 제공"
/studio/3d/dcc/model,3D 모델링 메시를 만들고 편집하는 기본 작업 모드,/studio/3d/dcc/model,creator,immersive-editor,create,public,optional,beta,desktop-first,preview,P2,E09-creator-editor,creator-studio,샘플 작업 시작,"unnamed-interactions:7; visible-state:비어 있습니다,없습니다,오류; failed-request:www.toonstudio.cloud",1307,3034,7,4,"3D 모델링 메시를 만들고 편집하는 기본 작업 모드을 CreatorShell, 문서 보존, 능력 검사, 안전 모드와 명시적 모바일 정책으로 제공"
